input_genre,normalized_genre
# Spelling variations
hiphop,hip-hop
hip hop,hip-hop
rnb,r-n-b
r&b,r-n-b
randb,r-n-b
rhythm and blues,r-n-b
dubstep,dub
dub step,dub
electro,electronic
electronica,electronic
psych,psychedelic
psychadelic,psychedelic
psychedelic rock,psych-rock
prog,progressive-house
prog rock,progressive-rock
prog house,progressive-house
punk rock,punk
punkrock,punk
hardrock,hard-rock
soft rock,rock
classic rock,classic-rock
glam rock,glam-rock

# Abbreviations
edm,electronic
dnb,drum-and-bass
d&b,drum-and-bass
idm,electronic
ebm,electronic
r n b,r-n-b
kpop,k-pop
jpop,j-pop
jrock,j-rock
lofi,lo-fi
hifi,electronic
synthwave,synth-pop
retrowave,synth-pop
darkwave,goth
coldwave,post-punk
shoegaze,indie
dream pop,indie
slowcore,indie

# Regional differences
grime,hip-hop
drill,hip-hop
uk drill,hip-hop
trap,hip-hop
southern rap,hip-hop
west coast rap,hip-hop
east coast rap,hip-hop
crunk,hip-hop
bounce,hip-hop
hyphy,hip-hop
g-funk,funk
gangsta rap,hip-hop
conscious rap,hip-hop
mumble rap,hip-hop
soundcloud rap,hip-hop
emo rap,emo
britpop,british
brit pop,british
uk garage,garage
2-step,garage
future garage,electronic
bassline,electronic
jungle,drum-and-bass
liquid dnb,drum-and-bass
neurofunk,drum-and-bass
jump up,drum-and-bass
ragga jungle,drum-and-bass
darkstep,drum-and-bass
technoid,techno
detroit techno,techno
berlin techno,techno
dub techno,techno
minimal techno,minimal
microhouse,minimal

# Non-Spotify genres mapped to closest equivalents
vaporwave,electronic
chillhop,lo-fi
chillwave,chill
future funk,funk
synthwave,synth-pop
outrun,electronic
nightcore,electronic
witch house,electronic
seapunk,electronic
cloud rap,hip-hop
phonk,hip-hop
drill n bass,drum-and-bass
breakcore,breakbeat
digital hardcore,hardcore
speedcore,hardcore
terrorcore,hardcore
extratone,electronic
lowercase,ambient
onkyokei,experimental
musique concrete,experimental
electroacoustic,electronic
acousmatic,experimental
plunderphonics,experimental
hauntology,electronic
hypnagogic pop,indie
chillstep,chill
future bass,electronic
kawaii future bass,electronic
riddim,dubstep
brostep,dubstep
post-dubstep,electronic
wonky,electronic
purple sound,electronic
footwork,electronic
juke,electronic
baltimore club,club
jersey club,club
philly club,club
miami bass,hip-hop
electro swing,electronic
electroswing,electronic
